timestamp,bus_id,student_id,distance,hour,day_of_week,traffic_condition,bus_speed,eta
2024-06-24 23:08:23,bus8,student28,3.57,19,5,light,18.73,19.93
2024-12-22 23:37:46,bus6,student15,49.05,14,1,light,59.92,81.23
2024-10-07 21:12:23,bus9,student87,27.29,15,0,medium,28.43,115.34
2024-03-25 20:39:28,bus5,student72,1.7,8,4,heavy,42.28,94.46
2024-10-14 21:30:03,bus9,student56,16.51,11,1,medium,54.38,83.11
2024-06-15 17:42:15,bus1,student98,21.34,17,5,heavy,40.84,30.91
2024-06-17 14:55:46,bus3,student95,4.86,7,0,medium,32.57,77.15
2024-01-30 01:51:15,bus8,student30,40.83,15,6,medium,45.98,68.21
2024-07-20 04:09:38,bus6,student24,34.77,15,1,medium,20.92,45.61
2024-04-08 09:24:50,bus2,student4,2.56,13,0,heavy,32.06,58.39
2024-12-22 15:52:01,bus6,student27,16.22,6,5,heavy,20.26,79.72
2024-11-24 18:05:07,bus5,student4,20.43,8,5,medium,21.28,97.17
2024-06-18 12:24:14,bus9,student82,49.67,7,4,heavy,18.47,55.81
2024-12-02 22:28:55,bus5,student69,46.72,14,3,medium,37.96,22.76
2024-03-13 01:14:43,bus2,student70,33.6,6,0,heavy,28.37,16.49
2024-10-06 07:29:46,bus4,student27,14.44,15,1,light,16.71,33.53
2024-06-25 00:19:54,bus9,student34,10.93,13,1,medium,21.23,71.82
2024-04-30 00:50:27,bus3,student3,10.49,14,0,heavy,58.24,115.73
2024-12-20 13:33:57,bus1,student83,48.79,14,2,heavy,44.03,88.42
2024-03-24 14:24:35,bus6,student84,49.39,19,0,light,44.57,77.15
2024-06-17 10:25:54,bus3,student11,7.61,8,6,light,24.91,107.44
2024-10-06 07:07:17,bus4,student40,16.78,11,6,heavy,55.06,13.82
2024-11-01 05:54:37,bus2,student21,43.01,10,4,medium,31.05,33.66
2024-09-03 08:23:09,bus2,student34,41.71,10,3,medium,10.45,32.03
2024-02-26 17:52:33,bus6,student21,11.8,15,4,heavy,50.36,53.09
2024-03-19 03:03:01,bus7,student79,18.52,19,2,light,39.3,20.83
2024-11-13 20:44:44,bus4,student16,9.23,13,2,heavy,43.37,78.45
2024-06-08 14:14:54,bus2,student7,47.82,16,2,medium,32.13,93.41
2024-04-02 18:42:52,bus7,student2,22.59,13,0,medium,30.06,56.69
2024-07-17 08:58:08,bus10,student27,40.44,15,1,light,34.97,92.73
2024-01-28 15:46:17,bus8,student67,15.15,16,0,medium,56.92,48.65
2024-10-31 16:46:16,bus10,student77,2.28,14,3,light,31.3,16.42
2024-05-27 20:22:04,bus5,student77,44.63,18,5,medium,13.4,21.47
2024-08-12 22:40:53,bus4,student43,22.53,6,2,medium,10.01,74.77
2024-01-25 23:58:51,bus4,student79,1.52,11,5,medium,22.11,17.22
2024-05-06 00:38:12,bus6,student37,18.9,14,5,heavy,49.91,78.03
2024-05-01 19:19:41,bus7,student83,7.55,16,6,medium,22.88,82.16
2024-06-29 14:59:39,bus4,student1,43.36,13,6,light,11.96,31.92
2024-02-28 11:29:51,bus9,student91,18.05,17,6,light,27.66,56.51
2024-07-06 13:20:23,bus2,student39,8.98,20,0,medium,38.23,7.07
2024-09-12 01:21:20,bus7,student62,20.45,11,4,light,40.42,84.5
2024-02-13 01:19:34,bus4,student71,36.77,12,6,light,19.1,90.41
2024-10-09 21:41:20,bus9,student21,36.24,16,0,light,48.12,12.17
2024-01-13 20:03:07,bus4,student37,35.7,15,0,heavy,18.81,81.59
2024-04-05 23:10:26,bus4,student96,38.54,13,0,light,16.12,33.4
2024-12-18 03:48:53,bus2,student63,3.5,9,2,medium,42.1,65.91
2024-05-10 16:11:34,bus4,student18,41.28,15,3,heavy,54.98,15.87
2024-09-04 07:45:05,bus5,student48,31.9,9,6,light,59.63,67.84
2024-05-20 18:24:51,bus4,student97,42.05,15,3,heavy,10.7,60.32
2024-08-15 04:32:37,bus3,student77,35.7,12,2,heavy,15.09,45.9
2024-09-16 13:34:35,bus6,student47,13.7,19,2,medium,42.75,113.62
2024-12-30 23:40:08,bus3,student3,49.35,8,1,heavy,34.7,103.57
2024-04-02 23:08:12,bus6,student92,36.06,9,0,heavy,29.95,118.6
2024-11-21 19:18:17,bus3,student6,10.81,11,2,heavy,27.03,34.33
2024-04-17 17:14:44,bus3,student8,5.25,9,2,medium,52.99,110.48
2024-08-13 13:52:19,bus2,student97,49.17,20,2,heavy,14.4,61.68
2024-09-26 18:13:57,bus6,student9,25.01,6,0,medium,16.83,44.24
2024-12-12 03:50:55,bus2,student13,37.62,18,0,medium,44.67,61.54
2024-05-02 16:16:33,bus9,student8,18.81,6,2,heavy,54.47,39.19
2024-10-08 08:50:11,bus5,student45,17.72,7,1,heavy,10.51,45.27
2024-02-14 21:00:50,bus3,student67,25.84,18,3,light,40.52,48.02
2024-12-07 17:45:27,bus4,student90,49.47,18,0,heavy,33.19,56.85
2024-09-19 14:26:49,bus4,student53,31.19,8,4,heavy,34.2,10.36
2024-04-01 07:17:48,bus6,student77,7.75,14,3,medium,20.0,57.39
2024-03-16 10:36:08,bus7,student6,5.77,17,3,light,56.46,58.84
2024-06-05 11:46:31,bus7,student90,29.65,12,0,light,39.02,6.25
2024-10-12 17:18:17,bus7,student1,49.16,20,1,heavy,18.03,15.87
2024-03-30 04:41:03,bus10,student48,37.23,6,0,heavy,32.34,5.53
2024-09-24 00:14:08,bus6,student94,37.99,9,6,heavy,36.48,54.57
2024-11-25 18:32:25,bus10,student91,11.79,9,0,light,46.5,18.93
2024-03-25 22:25:48,bus8,student10,32.81,11,6,light,16.85,47.41
2024-12-05 00:29:43,bus10,student69,42.77,20,5,light,32.98,99.53
2024-07-01 08:08:26,bus10,student13,7.77,13,2,heavy,23.3,88.31
2024-09-16 02:38:22,bus3,student99,40.86,11,5,light,41.95,114.19
2024-12-12 12:46:57,bus8,student31,21.77,6,2,heavy,23.89,92.39
